IP address and port	Type of	Anonymity	Country	Uptime	Check date
196.216.220.204:36739	HTTP	HIA	Sierra leone	24% (133) -	24:10:21 12:08:23
3.17.142.21:49205	HTTP	HIA	USA	24% (37) -	24:10:21 12:05:56
77.236.252.133:1256	HTTP !	NOA	Russia	24% (58) -	24:10:21 12:02:35
68.188.63.149:8080	HTTP !	NOA	USA !	20% (413) -	24:10:21 12:01:07
52.221.226.92:443	HTTP	ANM	Singapore	56% (5) +	24:10:21 11:57:00
186.96.110.154:999	HTTP S !	NOA	Columbia	58% (87) -	24:10:21 11:56:56
107.210.94.109:3128	HTTP !	NOA	USA	23% (26) -	24:10:21 11:55:53
200.122.238.34:999	HTTP !	NOA	Columbia	new +	24:10:21 11:55:21
52.70.6.78:8000	HTTP	ANM	USA	20% (1) +	24:10:21 11:54:55
186.97.239.98:8080	HTTP !	NOA	Columbia	43% (125) +	24:10:21 11:54:02
217.181.62.212:9091	HTTP !	ANM	England !	25% (6) +	24:10:21 11:52:11
5.160.91.130:3128	HTTP !	NOA	Iran	36% (39) -	24:10:21 11:50:07
134.19.254.2:21231	HTTP	HIA	Georgia	32% (104) -	24:10:21 11:49:34
103.166.143.243:3128	HTTP !	NOA	Vietnam	100% (2) +	24:10:21 11:45:24
178.128.43.162:3128	HTTP S !	NOA	England	6% (2) -	24:10:21 11:43:06
1.20.99.122:8080	HTTP !	NOA	Thailand	27% (225) -	24:10:21 11:42:02
75.119.146.237:6969	HTTP S	HIA	Germany	12% (3) -	24:10:21 11:39:50
160.16.215.141:3128	HTTP	HIA	Japan	new -	24:10:21 11:38:06
18.139.163.152:443	HTTP	ANM	Singapore	31% (5) -	24:10:21 11:37:31
35.187.224.178:3128
